param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;200;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9252621908916975;0.8091847290976257
0.01;500;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9531037637321443;0.8138373130274665
0.01;20;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9062928076884275;0.8028133098705001
0.01;50;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9301764654112055;0.8058188443853935
0.01;100;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.94643597641043;0.8096179312939304
0.01;200;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9643593610068091;0.8134641325547178
0.01;500;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9795012533054511;0.8172757680900872
0.01;20;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.8912101730160069;0.8002024241411168
0.01;50;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.911446013443693;0.8047574474399217
0.01;100;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9271977220281147;0.8083187407931818
0.01;200;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9487409028150658;0.813054688897718
0.01;500;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9708302277728706;0.8170652511551373
0.01;20;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.8783353640349923;0.7966452755063955
0.01;50;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9002512959342839;0.8013805247558078
0.01;100;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.917663948239924;0.8055309173018474
0.01;200;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.939758256011065;0.8103523554098757
0.01;500;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9638129234569995;0.8141699159513095
0.05;20;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8197183328210651;0.7890999470946363
0.05;50;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8409447145491065;0.7993888585419664
0.05;100;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8598768239074085;0.8071933270551529
0.05;200;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.8808507324240176;0.8110033770812076
0.05;500;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.9176380713118135;0.812575901418921
