dataset;data_variant;n_estimators;max_depth;max_features;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_scaled;100;3;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;3;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;3;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;4;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;4;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;4;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;5;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;5;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;100;5;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;300;3;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
