dataset;data_variant;n_estimators;max_depth;max_features;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_scaled;10;6;0.65;30;0.7573078210011878;0.6827879880873691;0.12707986688851913;0.10048622366288493;0.8713858883015398;0.8724431165249368;0.6397905759162303;0.48742138364779874;0.07054612631335873;0.056017347307553304;56260.0;18825.0;8050.0;2612.0;344.0;163.0;611.0;155.0
2;_scaled;10;6;0.65;35;0.7715418445178419;0.7376781694378408;0.11102886750555145;0.10235621991385863;0.8343829004826476;0.8371408871523788;0.7068062827225131;0.6352201257861635;0.060246340592645484;0.05566271700192891;53781.0;18010.0;10529.0;3427.0;280.0;116.0;675.0;202.0
2;_scaled;10;6;0.65;40;0.7820737413102926;0.7414361462269284;0.10562860097503324;0.09485458612975392;0.8144794300160882;0.8140197655711331;0.7486910994764397;0.6666666666666666;0.05682269728999444;0.051059730250481696;52442.0;17497.0;11868.0;3940.0;240.0;106.0;715.0;212.0
2;_scaled;10;6;0.65;45;0.7926675111798951;0.729572364010617;0.10331747017035657;0.08841657810839533;0.800796751704589;0.8028499195587221;0.7842931937172775;0.6540880503144654;0.05530124040165387;0.0474128105767039;51515.0;17258.0;12795.0;4179.0;206.0;110.0;749.0;208.0
2;_scaled;10;6;0.65;50;0.7947164055649947;0.7541204547594927;0.09622886866059817;0.08840413318025259;0.7763732475293036;0.781015858423351;0.8136125654450261;0.7264150943396226;0.051138607345004604;0.04706601466992665;49893.0;16760.0;14417.0;4677.0;178.0;87.0;777.0;231.0
2;_scaled;10;6;0.65;55;0.7998825225653555;0.7582365087342375;0.09485789191443722;0.08681318681318681;0.7672412472228607;0.7708113077453459;0.8335078534031414;0.7452830188679245;0.0502906242102603;0.046091015169194866;49278.0;16532.0;15032.0;4905.0;159.0;81.0;796.0;237.0
2;_scaled;10;6;0.75;20;0.6611964624882258;0.5940680208761494;0.17632113821138212;0.11415168100078185;0.9503255956485099;0.9479200183865778;0.3633507853403141;0.22955974842767296;0.11640389131164039;0.07596253902185224;61676.0;20549.0;2634.0;888.0;608.0;245.0;347.0;73.0
2;_scaled;10;6;0.75;25;0.7206511978546324;0.6722165696587016;0.14825796886582654;0.12442396313364054;0.9119742587910825;0.9126637554585153;0.5235602094240838;0.42452830188679247;0.08635578583765112;0.07289416846652268;59020.0;19720.0;5290.0;1717.0;455.0;183.0;500.0;135.0
2;_scaled;10;6;0.75;30;0.7553586562470234;0.7021690441172803;0.12724409448818896;0.10861788617886178;0.8726269823029189;0.8740059756377844;0.6345549738219896;0.5251572327044025;0.0707117852975496;0.06057308668842945;56346.0;18847.0;7964.0;2590.0;349.0;151.0;606.0;167.0
2;_scaled;10;6;0.75;35;0.769844446199324;0.7248292715557039;0.10819881732459646;0.09703906444389152;0.8290048264766721;0.8331877729257642;0.7089005235602094;0.6132075471698113;0.058569080370274244;0.052688462577681706;53428.0;17931.0;10882.0;3506.0;278.0;123.0;677.0;195.0
2;_scaled;10;6;0.75;40;0.7874130622207061;0.7327718812151917;0.10674116003822687;0.09298126833671859;0.8138205776449858;0.815260859572512;0.7602094240837697;0.6477987421383647;0.05740037950664137;0.050085096036955996;52388.0;17530.0;11922.0;3907.0;229.0;112.0;726.0;206.0
2;_scaled;10;6;0.75;45;0.7870233025406226;0.7426517896671334;0.09657818995842661;0.08702469619756956;0.7835746571669348;0.7858883015398759;0.7905759162303665;0.6981132075471698;0.051430517711171665;0.04640468227424749;50385.0;16875.0;13925.0;4562.0;200.0;96.0;755.0;222.0
2;_scaled;10;6;0.75;50;0.7924095981425051;0.7487737213299874;0.09587680079483359;0.08685714285714287;0.7769095227150846;0.7796368650884854;0.8083769633507853;0.7169811320754716;0.05096045943626642;0.046228710462287104;49933.0;16733.0;14377.0;4704.0;183.0;90.0;772.0;228.0
2;_scaled;10;6;0.75;55;0.7944682619608393;0.7550548147078919;0.09281806952532204;0.085383502170767;0.7636865088485406;0.7675936566306596;0.8261780104712042;0.7421383647798742;0.049171132992646145;0.04529750479846449;49053.0;16463.0;15257.0;4974.0;166.0;82.0;789.0;236.0
2;_scaled;10;6;0.85;20;0.6414694123116026;0.5918000764563004;0.16930335831251733;0.11955593509820667;0.9541408105416379;0.9526085957251207;0.3193717277486911;0.22012578616352202;0.11518126888217523;0.08206330597889801;61967.0;20654.0;2343.0;783.0;650.0;248.0;305.0;70.0
2;_scaled;10;6;0.85;25;0.719345350278958;0.6796871951539732;0.13819472893622833;0.11931581143095533;0.9033019229295948;0.9029648356699609;0.5298429319371728;0.449685534591195;0.07945979899497488;0.06878306878306878;58448.0;19501.0;5862.0;1936.0;449.0;175.0;506.0;143.0
2;_scaled;10;6;0.85;30;0.7599107236626256;0.7116043999632682;0.12027195250406972;0.10400233713117149;0.8592354248065579;0.8590209147322455;0.6575916230366492;0.559748427672956;0.06618887015177066;0.05732689210950081;55450.0;18510.0;8860.0;2927.0;327.0;140.0;628.0;178.0
2;_scaled;10;6;0.85;35;0.7751501846829941;0.7167536115040033;0.10849056603773585;0.09230769230769231;0.8262468398069409;0.826430705584923;0.7225130890052356;0.6037735849056604;0.058648533786655334;0.04997397188964081;53235.0;17787.0;11075.0;3650.0;265.0;126.0;690.0;192.0
2;_scaled;10;6;0.85;40;0.7840159453432776;0.7453052428309016;0.10030706243602866;0.09157432573698514;0.7979774764421972;0.8002757986669731;0.7696335078534031;0.6886792452830188;0.05364963503649635;0.049048152295632697;51345.0;17191.0;12965.0;4246.0;220.0;99.0;735.0;219.0
2;_scaled;10;6;0.85;45;0.7872097358915137;0.7511102446454918;0.09762430221991432;0.09016556951924995;0.7869914962077683;0.7903470466559411;0.787434554973822;0.710691823899371;0.05203792125112449;0.04813631522896698;50611.0;16968.0;13699.0;4469.0;203.0;92.0;752.0;226.0
2;_scaled;10;6;0.85;50;0.7850230110858644;0.7513215556598053;0.09282803090212301;0.08641975308641976;0.7715008044127787;0.7754998850838888;0.7989528795811518;0.7264150943396226;0.049276672694394216;0.045942720763723154;49589.0;16640.0;14721.0;4797.0;192.0;87.0;763.0;231.0
2;_scaled;10;6;0.85;55;0.787804735081465;0.7610505171948929;0.09047149567940613;0.08587208266524142;0.7597027503255956;0.7641461732934958;0.8167539267015707;0.7578616352201258;0.047888015717092336;0.045514636449480644;48802.0;16383.0;15508.0;5054.0;175.0;77.0;780.0;241.0
2;_scaled;10;7;0.65;20;0.6749567499049515;0.6076358602932741;0.1891960436216079;0.12490479817212491;0.9510150923159427;0.9471845552746495;0.39057591623036647;0.2578616352201258;0.1248326639892905;0.08241206030150754;61695.0;20524.0;2615.0;913.0;582.0;236.0;373.0;82.0
2;_scaled;10;7;0.65;25;0.7379359711345813;0.6540991256227477;0.17007465108730932;0.12166918049270992;0.9216425342833066;0.9196966214663296;0.5486910994764398;0.3805031446540881;0.10063376224313424;0.07241172950329144;59627.0;19887.0;4683.0;1550.0;431.0;197.0;524.0;121.0
2;_scaled;10;7;0.65;30;0.7601085953915955;0.6682295320234838;0.14387275575370526;0.10436079016026835;0.8911361372864476;0.8895426338772696;0.625130890052356;0.44025157232704404;0.08129084967320262;0.05919661733615222;57563.0;19212.0;6747.0;2225.0;358.0;178.0;597.0;140.0
2;_scaled;10;7;0.65;35;0.7906537053424961;0.7058200084905807;0.12326955294947538;0.09697630073549442;0.8476518807936873;0.8476212364973569;0.7319371727748691;0.559748427672956;0.06730213749277875;0.05308678795108858;54623.0;18262.0;9687.0;3175.0;256.0;140.0;699.0;178.0
2;_scaled;10;7;0.65;40;0.8013673950050516;0.7424431924700813;0.11324478178368122;0.0979020979020979;0.8209913429862867;0.8221098598023443;0.7811518324607329;0.660377358490566;0.06104746317512275;0.052870090634441085;52836.0;17675.0;11474.0;3762.0;209.0;108.0;746.0;210.0
2;_scaled;10;7;0.65;45;0.8093250054342473;0.746512598126498;0.11125541125541125;0.09544851966416262;0.8112617789014019;0.8118133762353482;0.8073298429319372;0.6792452830188679;0.05974428516079039;0.051330798479087454;52176.0;17445.0;12134.0;3992.0;184.0;102.0;771.0;216.0
2;_scaled;10;7;0.65;50;0.8075680542789712;0.7495365240196298;0.10831992162899727;0.09421841541755889;0.8047498659312036;0.8055619397839577;0.8104712041884817;0.6918238993710691;0.058038392321535695;0.050551470588235295;51748.0;17305.0;12562.0;4132.0;181.0;98.0;774.0;220.0
2;_scaled;10;7;0.65;55;0.8069702056709933;0.7479889147166054;0.1025141297992594;0.08942115768463074;0.7883245230981384;0.7903010802114456;0.8261780104712042;0.7044025157232704;0.05464745809668929;0.04774083546462063;50661.0;16969.0;13649.0;4468.0;166.0;94.0;789.0;224.0
2;_scaled;10;7;0.75;20;0.6876723999671096;0.6073230378441083;0.2072946733140908;0.1287758346581876;0.9537117903930131;0.949620776832912;0.41361256544502617;0.25471698113207547;0.13830532212885155;0.08617021276595745;61849.0;20578.0;2461.0;859.0;560.0;237.0;395.0;81.0
2;_scaled;10;7;0.75;25;0.7370106022774178;0.6377831428233616;0.17149440421329823;0.11363636363636363;0.9228683061365204;0.9211215812456907;0.5455497382198953;0.34591194968553457;0.10173794180824058;0.06798516687268233;59710.0;19929.0;4600.0;1508.0;434.0;208.0;521.0;110.0
2;_scaled;10;7;0.75;30;0.77630338486438;0.6827550555481721;0.1390003252737721;0.1020543406229291;0.8783268214203631;0.8754309354171455;0.6712041884816754;0.48427672955974843;0.07752781809385582;0.05703703703703704;56683.0;18891.0;7627.0;2546.0;314.0;164.0;641.0;154.0
2;_scaled;10;7;0.75;35;0.7948059587029774;0.714647542616466;0.1239712834880056;0.09937888198757763;0.8466865854592814;0.8467019076074466;0.7413612565445026;0.5786163522012578;0.06764115792490685;0.054357459379615954;54551.0;18236.0;9759.0;3201.0;247.0;134.0;708.0;184.0
2;_scaled;10;7;0.75;40;0.795442315160288;0.7358643860039787;0.11191583441335672;0.09692671394799053;0.8215122960239025;0.8244081820271202;0.768586387434555;0.6446540880503144;0.060351915803321825;0.05240286298568507;52882.0;17730.0;11428.0;3707.0;221.0;113.0;734.0;205.0
2;_scaled;10;7;0.75;45;0.805991756226589;0.7313861474444789;0.11104642701207976;0.09271822704658525;0.8128246380142496;0.8155826246839807;0.7989528795811518;0.6446540880503144;0.059669977320716355;0.04995126705653021;52286.0;17538.0;12024.0;3899.0;192.0;113.0;763.0;205.0
2;_scaled;10;7;0.75;50;0.8081207192582394;0.7477831046832272;0.10452127659574469;0.0909463334698894;0.7936413085114533;0.7960009193288899;0.8230366492146597;0.6981132075471698;0.055804046858359956;0.04864154250657318;51011.0;17095.0;13299.0;4342.0;169.0;96.0;786.0;222.0
2;_scaled;10;7;0.75;55;0.8086292182580939;0.7522956693637608;0.1016732660620769;0.08942929986271819;0.78447866390868;0.7865777982073087;0.8335078534031414;0.7169811320754716;0.05413861116778888;0.047688768040158966;50403.0;16884.0;13907.0;4553.0;159.0;90.0;796.0;228.0
2;_scaled;10;7;0.85;20;0.6720382131380966;0.6068332305016632;0.190625;0.12666145426114153;0.952378763502643;0.9486554814985061;0.3832460732984293;0.25471698113207547;0.1268630849220104;0.08428720083246619;61791.0;20557.0;2519.0;880.0;589.0;237.0;366.0;81.0
2;_scaled;10;7;0.85;25;0.7380062703478977;0.6537451558361888;0.16151150388541824;0.11489957963568426;0.9156822186470543;0.9128935876809928;0.5549738219895288;0.3867924528301887;0.09450784593437946;0.06747120131651124;59232.0;19737.0;5078.0;1700.0;425.0;195.0;530.0;123.0
2;_scaled;10;7;0.85;30;0.7679004511035795;0.6895574952258821;0.13651279807481953;0.10533333333333335;0.8790469623841263;0.876626062974029;0.6534031413612565;0.4968553459119497;0.07621839501648955;0.05891126025354213;56747.0;18913.0;7563.0;2524.0;331.0;160.0;624.0;158.0
2;_scaled;10;7;0.85;35;0.7972136762295849;0.7016161588601146;0.1262334429727087;0.09599561162918267;0.849398605684517;0.8484945989427718;0.743455497382199;0.550314465408805;0.06897221682533515;0.052584134615384616;54726.0;18284.0;9584.0;3153.0;245.0;143.0;710.0;175.0
2;_scaled;10;7;0.85;40;0.7992804405363092;0.7277269682729824;0.11676622859418558;0.09658536585365854;0.8300926989963993;0.8297402895886004;0.7675392670157068;0.6226415094339622;0.06318965517241379;0.0523532522474881;53443.0;17853.0;10867.0;3584.0;222.0;120.0;733.0;198.0
2;_scaled;10;7;0.85;45;0.8091021809445577;0.733350877795195;0.11062549258436627;0.0915694475016509;0.8098061748257106;0.8102964835669961;0.8083769633507853;0.6540880503144654;0.05937548069527765;0.04923076923076923;52080.0;17420.0;12230.0;4017.0;183.0;110.0;772.0;208.0
2;_scaled;10;7;0.85;50;0.808861975004905;0.7379526317132872;0.10484246985945515;0.08828939301042306;0.7940856508082433;0.794943691105493;0.8240837696335078;0.6792452830188679;0.05598235879926021;0.04721311475409836;51039.0;17078.0;13271.0;4359.0;168.0;102.0;787.0;216.0
2;_scaled;10;7;0.85;55;0.801302509685986;0.756854882362623;0.09701721075519079;0.08806925103500188;0.7741055696008581;0.7772466099747185;0.8293193717277487;0.7358490566037735;0.05152224824355972;0.04683746997598078;49730.0;16675.0;14580.0;4762.0;163.0;84.0;792.0;234.0
2;_scaled;10;8;0.65;20;0.7033403320467533;0.5974129840166431;0.22100884035361412;0.1229235880398671;0.9540948440971424;0.9514594346127327;0.44502617801047123;0.23270440251572327;0.14700795572466274;0.0835214446952596;61844.0;20625.0;2466.0;812.0;530.0;244.0;425.0;74.0
2;_scaled;10;8;0.65;25;0.7546012402295491;0.6348525135668859;0.19775443679826152;0.1185682326621924;0.9321228836282847;0.9275568834750632;0.5717277486910994;0.3333333333333333;0.11955331727611124;0.07210884353741497;60289.0;20073.0;4021.0;1364.0;409.0;212.0;546.0;106.0
2;_scaled;10;8;0.65;30;0.7791842279013383;0.6646499337095125;0.1646809637278263;0.11046990931574609;0.9033172450777599;0.9008044127786715;0.6513089005235602;0.42138364779874216;0.0942567055614487;0.0635673624288425;58333.0;19463.0;5977.0;1974.0;333.0;184.0;622.0;134.0
2;_scaled;10;8;0.65;35;0.8128492063556677;0.6979981270260113;0.148424543946932;0.10587102983638112;0.8741132306749406;0.8718915191909906;0.749738219895288;0.5188679245283019;0.08236512136201542;0.05894962486602358;56333.0;18803.0;7977.0;2634.0;239.0;153.0;716.0;165.0
2;_scaled;10;8;0.65;40;0.8156519346327222;0.7170169984711675;0.1367806505421184;0.10359467874327766;0.8572741898414158;0.8544242702826936;0.7727748691099476;0.5754716981132075;0.07503050020333468;0.056920684292379474;55212.0;18405.0;9098.0;3032.0;217.0;135.0;738.0;183.0
2;_scaled;10;8;0.65;45;0.8224719352677354;0.720340031034334;0.1301131048558551;0.09944751381215469;0.8432697464184479;0.842656860491841;0.8010471204188482;0.5943396226415094;0.07080710847834136;0.05426356589147287;54271.0;18143.0;10039.0;3294.0;190.0;129.0;765.0;189.0
2;_scaled;10;8;0.65;50;0.8311476397456364;0.7153349451940938;0.12578217821782178;0.0930460333006856;0.8308894507009883;0.8297402895886004;0.831413612565445;0.5974842767295597;0.06803770351328192;0.05045140732873075;53434.0;17861.0;10876.0;3576.0;161.0;128.0;794.0;190.0
2;_scaled;10;8;0.65;55;0.8298424434655111;0.7360290486999642;0.11580974113955646;0.09200438116100766;0.810020684900023;0.8094690875660767;0.8502617801047121;0.660377358490566;0.062136516681971225;0.04944666823640217;52054.0;17400.0;12256.0;4037.0;143.0;108.0;812.0;210.0
2;_scaled;10;8;0.75;20;0.7236167500189282;0.5961768035809478;0.2306930693069307;0.11774065234685761;0.952378763502643;0.9490232130544702;0.48795811518324606;0.23270440251572327;0.15105348460291734;0.07880724174653887;61691.0;20572.0;2619.0;865.0;489.0;244.0;466.0;74.0
2;_scaled;10;8;0.75;25;0.7597590939176322;0.635272348431839;0.20064958498736918;0.11977401129943502;0.9321228836282847;0.9283842794759826;0.5821989528795811;0.3333333333333333;0.12121212121212122;0.07300275482093664;60279.0;20091.0;4031.0;1346.0;399.0;212.0;556.0;106.0
2;_scaled;10;8;0.75;30;0.792913253131714;0.6762626511559541;0.17527173913043478;0.11715828832571666;0.9069945606374014;0.9023213054470237;0.675392670157068;0.44339622641509435;0.10070257611241218;0.06749640976543801;58550.0;19489.0;5760.0;1948.0;310.0;177.0;645.0;141.0
2;_scaled;10;8;0.75;35;0.8039766477980919;0.6944281370920729;0.15406976744186046;0.1092896174863388;0.8840726269823029;0.8801195127556883;0.7214659685863875;0.5031446540880503;0.08624358492927775;0.06130268199233716;57010.0;18987.0;7300.0;2450.0;266.0;158.0;689.0;160.0
2;_scaled;10;8;0.75;40;0.8153439125440336;0.7225928660932149;0.1317534706870634;0.10341034103410342;0.8495518271661687;0.8501493909446104;0.7801047120418848;0.5911949685534591;0.07195286845663512;0.056660638939119955;54701.0;18307.0;9609.0;3130.0;210.0;130.0;745.0;188.0
2;_scaled;10;8;0.75;45;0.8213219101521507;0.7291593503620233;0.12210261648463896;0.09690771852934016;0.8288056385505248;0.8295104573661227;0.8136125654450261;0.6257861635220126;0.06600407747196738;0.052520453945632095;53315.0;17847.0;10995.0;3590.0;178.0;119.0;777.0;199.0
2;_scaled;10;8;0.75;50;0.8250290030049148;0.7178649563456821;0.11705955790555922;0.08937528499772002;0.8157818126101279;0.8164100206849;0.8345549738219895;0.6163522012578616;0.06294424261570052;0.048180924287118974;52445.0;17565.0;11865.0;3872.0;158.0;122.0;797.0;196.0
2;_scaled;10;8;0.75;55;0.8249391649251295;0.7449690962225718;0.11044695014264366;0.09219708183548318;0.7993411476288975;0.8026660537807401;0.8513089005235602;0.6855345911949685;0.059054260187404665;0.04942189979596463;51356.0;17244.0;12954.0;4193.0;142.0;100.0;813.0;218.0
2;_scaled;10;8;0.85;20;0.7089310937450389;0.6004273015297421;0.22143400050671397;0.12031249999999999;0.9529150386884241;0.9482417834980464;0.45759162303664924;0.24213836477987422;0.14605614973262032;0.08004158004158005;61755.0;20552.0;2555.0;885.0;518.0;241.0;437.0;77.0
2;_scaled;10;8;0.85;25;0.7536350025766881;0.639085188337451;0.17891167447117712;0.11105602379771937;0.9220868765800966;0.9175821650195357;0.5801047120418849;0.3522012578616352;0.1057655593738068;0.0659211300765156;59626.0;19850.0;4684.0;1587.0;401.0;206.0;554.0;112.0
2;_scaled;10;8;0.85;30;0.7900420167041027;0.6806119467223395;0.1610704993185479;0.11174458380843785;0.8962537347736153;0.8925764192139738;0.680628272251309;0.46226415094339623;0.09134345137717818;0.06355382619974059;57844.0;19271.0;6466.0;2166.0;305.0;171.0;650.0;147.0
2;_scaled;10;8;0.85;35;0.8089172944205952;0.7042874352021119;0.1473925262829187;0.10829862223646267;0.8744962843790699;0.8720753849689726;0.7413612565445026;0.5314465408805031;0.08183079056865465;0.06029254370317517;56366.0;18803.0;7944.0;2634.0;247.0;149.0;708.0;169.0
2;_scaled;10;8;0.85;40;0.8180655952312139;0.725266929598886;0.13029203386901675;0.10118577075098814;0.845767256569371;0.8432084578257871;0.7895287958115184;0.6037735849056604;0.07100480271211979;0.055220017256255395;54445.0;18152.0;9865.0;3285.0;201.0;126.0;754.0;192.0
2;_scaled;10;8;0.85;45;0.8241906635154816;0.7129174474392275;0.1273759565539373;0.09504343382728667;0.8375086187083429;0.8371868535968743;0.8104712041884817;0.5849056603773585;0.06911948562243257;0.05172413793103448;53886.0;18027.0;10424.0;3410.0;181.0;132.0;774.0;186.0
2;_scaled;10;8;0.85;50;0.8255290758686045;0.7268228270465189;0.11851520572450806;0.09254143646408841;0.818800275798667;0.818800275798667;0.8324607329842932;0.6320754716981132;0.06379905304550197;0.04992548435171386;52644.0;17612.0;11666.0;3825.0;160.0;117.0;795.0;201.0
