city,latitude,latitude_NS,longitude,longitude_WE
Bhubaneswar,20.27,N,85.84,E
Barpeta,26.32,N,91.0,E
Cuttack,20.52361,N,85.78806,E
Phagwara,31.22,N,75.77,E
Ranchi,23.36,N,85.33,E
Navi Mumbai,19.02,N,73.02,E
Goalpara,26.17,N,90.62,E
Jhunjhunu,28.13,N,75.4,E
Palwal,28.143,N,77.329,E
Baramati,18.15,N,74.58,E
Chidambaram,11.4,N,79.7,E
Bongaigaon,26.48,N,90.56,E
Delhi,28.61000,N,77.23000,E
Akola,20.7,N,77.00,E
North 24 Parganas,22.13,N,88.50,E
Solapur,17.6800,N,75.9200,E
Siddharthnagar,27.000,N,82.750,E
Rajpura,30.484,N,76.594,E
Tiruvallur,13.15,N,79.91,E
Ahmedabad,23.03,N,72.58,E
Washim,20.1,N,77.15,E
Perambalur,11.23,N,78.88,E
Bhagalpur,25.250,N,87.000,E
South Goa,15.2724,N,73.9583,E
Chhindwara,22.07,N,78.93,E
Jalore,25.35,N,72.62,E
Panipat,29.39,N,76.97,E
Sonbhadra,24.68972,N,83.06528,E
Kollam,8.88,N,76.60,E
Kutch,23.915,N,70.367,E
Ghazipur,25.58,N,83.57,E
Gadag,15.4167,N,75.6167,E
Almora,29.5971,N,79.6591,E
Deoghar,24.48,N,86.7,E
Alwar,27.549780,N,76.635539,E
Surendranagar,22.71667,N,71.71667,E
Thoubal,24.63,N,94.02,E
West Godavari,16.117,N,81.017,E
Nagapattinam,10.77,N,79.83,E
Himatnagar,23.6,N,72.95,E
Hubli,15.36167,N,75.08500,E
Darbhanga,26.17,N,85.9,E
Baramulla,34.198,N,74.364,E
Ambala,30.38,N,76.78,E
Kendujhar,21.63,N,85.58,E
Halol,22.5,N,73.47,E
Allahabad,25.450,N,81.850,E
Rupnagar,30.9664,N,76.5331,E
Tadipatri,14.92,N,78.02,E
Dharmapuri,12.1260,N,78.154,E
Bhuj,23.25,N,69.67,E
Sonipat,28.990,N,77.022,E
Marigaon,26.253317,N,92.342405,E
Rishikesh,30.10833,N,78.29722,E
Dibrugarh,27.48,N,95,E
Bhilai,21.21,N,81.38,E
Rohtak,28.8909,N,76.5796,E
Mumbai,18.97500,N,72.82583,E
Margao,15.27361,N,73.95806,E
Goa,15.50,N,73.83,E
Sawai Madhopur,25.983,N,76.367,E
Thiruvananthapuram,8.48750,N,76.95250,E
Vadodara,22.300,N,73.200,E
Jammu,32.73,N,74.87,E
Bahadurgarh,28.68,N,76.92,E
Chitradurga,14.23,N,76.4,E
Bidar,17.9,N,77.5,E
Churu,28.30,N,74.95,E
Valsad,20.610,N,72.926,E
Champawat,29.33,N,80.10,E
Rajahmundry,16.98,N,81.78,E
Kanyakumari,8.084,N,77.546,E
Sheikhpura,25.14028,N,85.85083,E
Haveri,14.79389,N,75.40389,E
Harda,22.33,N,77.1,E
Guwahati,26.17222,N,91.74583,E
Chhatarpur,24.63,N,79.5,E
Gandhidham,23.08,N,70.13,E
Lakhimpur Kheri,27.6,N,80.34,E
Namchi,27.17,N,88.35,E
Guntur,16.3008,N,80.4428,E
Hoshangabad,22.75,N,77.72,E
Karimnagar,18.43694,N,79.12417,E
Thrissur,10.52,N,76.21,E
Muzaffarnagar,29.482217,N,77.700116,E
Sangli,16.853,N,74.583,E
Agra,27.18,N,78.02,E
Kanpur,26.449923,N,80.331874,E
Abohar,30.1334,N,74.2001,E
Hospet,15.27,N,76.39,E
Gulbarga,17.12,N,76.31,E
Kumbakonam,10.97,N,79.42,E
Nagaon,26.3503828,N,92.6795912,E
Raigarh,21.9,N,83.4,E
Pathanamthitta,9.2648,N,76.7870,E
Bolangir,20.72,N,83.48,E
Sabarkantha,23.6,N,72.95,E
Siddipet,18.1,N,78.85,E
Kharagpur,22.330239,N,87.323653,E
Madurai,9.9,N,78.1,E
Kanpur Dehat,26.3443,N,79.96718,E
Dhalai,23.933,N,91.850,E
Pulwama,33.88,N,74.92,E
Mancherial,18.88,N,79.45,E
Faizabad,26.773,N,82.146,E
Cooch Behar,26.32419000,N,89.451000,E
Mangalore,12.83982,N,74.78994,E
Malappuram,11.041,N,76.083,E
Hardoi,27.42,N,80.12,E
Vijayawada,16.5193,N,80.6305,E
Warangal,18.0,N,79.58,E
Meerut,28.99,N,77.70,E
Ballia,25.760392,N,84.147055,E
Nalanda,25.13667,N,85.44389,E
Unnao,26.55,N,80.49,E
Gadchiroli,20.10,N,80.30,E
Kokrajhar,26.4,N,90.27,E
Mayurbhanj,21.933,N,86.733,E
Nawanshahr,31.1167,N,76.1333,E
Tirunelveli,8.7282833,N,77.6955389,E
Baddi,30.928,N,76.796,E
Kannauj,27.07,N,79.92,E
Kohima,25.6701,N,94.1077,E
Samastipur,25.862931,N,85.781064,E
Bargarh,21.333,N,83.617,E
Koriya,23.733,N,81.817,E
Tandur,17.23,N,77.58,E
Dahod,22.83472,N,74.25556,E
Mahbubnagar,16.75,N,78.00,E
Datia,25.67,N,78.47,E
Khargone,21.82,N,75.6187,E
Nilgiris,11.375,N,76.75833,E
Darrang,26.750,N,92.500,E
Chandrapur,19.950,N,79.297,E
Araria,26.15,N,87.52,E
Siruguppa,15.6,N,77,E
Namakkal,11.233,N,78.167,E
Gadwal,16.23,N,77.8,E
Durg,21.19,N,81.28,E
Hailakandi,24.68,N,92.57,E
Modasa,23.47,N,73.3,E
Rourkela,22.24917,N,84.88278,E
Upper Subansiri,28.300,N,94.000,E
Chittoor,13.2000,N,79.1167,E
Virudhunagar,9.583,N,77.950,E
Anantnag,33.73,N,75.15,E
Aizawl,23.72722,N,92.71778,E
Lunglei,22.88,N,92.73,E
Howrah,22.58444,N,88.26639,E
Patna,25.6,N,85.1,E
Khagaria,25.50833,N,86.47417,E
East Godavari,16.950,N,82.250,E
Medak,18.046,N,78.263,E
Kakinada,16.96611,N,82.25500,E
Gangtok,27.33,N,88.62,E
Bahraich,27.575,N,81.594,E
Itanagar,27.10000,N,93.62000,E
Chamarajanagar,11.9260,N,76.9402,E
Faridabad,28.4211,N,77.3078,E
Buldhana,20.53278,N,76.18278,E
Krishnagiri,12.53,N,78.23,E
Kishanganj,26.07944,N,87.93722,E
Kupwara,34.52583,N,74.25528,E
Silvassa,20.27,N,73.02,E
Amravati,20.92583,N,77.76472,E
Khurdha,20.166,N,85.666,E
Shahdol,23.28,N,81.35,E
GODHRA,22.777266,N,73.620253,E
Bhandara,21.17,N,79.65,E
Gondia,21.4598,N,80.195,E
Angul,20.83806,N,85.09556,E
Anantapur,14.68,N,77.599,E
Nabarangpur,19.23,N,82.55,E
Shajapur,23.43,N,76.27,E
Srinagar,34.09000,N,74.79000,E
Kozhikode,11.25,N,75.77,E
Agartala,23.833,N,91.283,E
Kochi,9.97,N,76.28,E
Tiruppur,11.11,N,77.34,E
Ganganagar,29.92,N,73.88,E
Sehore,23.2,N,77.08,E
Purnia,25.78,N,87.47,E
Damoh,23.84,N,79.45,E
Tamenglong,24.9906639,N,93.5009056,E
Mirzapur,25.146,N,82.569,E
Visakhapatnam,17.70417,N,83.29778,E
Papum Pare,27.15000,N,93.72000,E
Aluva,10.1167,N,76.3500,E
Jamshedpur,22.783,N,86.200,E
Solan,30.905,N,77.097,E
Badaun,28.05,N,79.12,E
Raisen,23.33,N,77.8,E
Dantewada,18.9000,N,81.3500,E
Tiruchirapalli,10.80500,N,78.68556,E
Ahmednagar,19.08,N,74.73,E
Jalandhar,31.2569,N,75.4432,E
Kolar,13.1333,N,78.1333,E
Jamtara,23.9633,N,86.8014,E
Bellary,15.100,N,76.917,E
Tiruvarur,10.773,N,79.637,E
Navsari,20.95,N,72.93,E
Puri,19.81056,N,85.83139,E
Yavatmal,20.24,N,78.06,E
Udhampur,32.93,N,75,E
Gorkakhpur,29.443802,N,75.670266,E
Rajkot,22.3000,N,70.7833,E
Ongole,15.506,N,80.049,E
Bhavnagar,21.76,N,72.15,E
Ichalkaranji,16.7,N,74.47,E
Jajapur,20.85,N,86.33,E
Ratlam,23.334,N,75.037,E
Dhamtari,20.71,N,81.55,E
Kargil,34.550,N,76.133,E
Panaji,15.49889,N,73.82778,E
Golaghat,26.52,N,93.97,E
Reasi,33.08,N,74.83,E
Haldwani,29.22,N,79.52,E
Banswara,23.55,N,74.45,E
Tinsukia,27.500,N,95.367,E
Balaghat,21.8,N,80.18,E
Dausa,26.8932,N,76.3375,E
Chamoli,30.42,N,79.33,E
Motihari,26.65000,N,84.91667,E
Ashoknagar,24.58000,N,77.73000,E
Damanjodi,18.82,N,82.72,E
Shahjahanpur,27.88,N,79.91,E
Gurgaon,28.456,N,77.029,E
Dakshin Dinajpur,25.22,N,88.76,E
Narsinghpur,22.95,N,79.2,E
Nainital,29.395,N,79.449,E
Dindigul,10.35,N,77.95,E
Sundargarh,22.12,N,84.03,E
South 24 Parganas,22.53,N,88.33,E
Jagdalpur,19.07,N,82.03,E
Dewas,22.96,N,76.06,E
Kadapa,14.47,N,78.82,E
Kandhamal,20.47,N,84.23,E
Aligarh,27.88,N,78.08,E
Lucknow,26.850,N,80.950,E
Ratnagiri,16.99444,N,73.30000,E
Raipur,21.25,N,81.63,E
Jalgaon,20.997984,N,75.566711,E
Kalka,30.83,N,76.93,E
Rayagada,19.17,N,83.42,E
Dhubri,26.02,N,90,E
Bathinda,30.23000,N,74.95194,E
Nalgonda,17.05,N,79.27,E
Sirohi,24.885,N,72.8625,E
Jodhpur,26.28,N,73.02,E
Chikkaballapur,13.43,N,77.72,E
Bagalkote,16.1817,N,75.6958,E
Rajsamand,25.07,N,73.88,E
Ri-Bhoi,25.900,N,91.883,E
Jhajjar,28.62,N,76.65,E
West Singhbhum,22.5667,N,85.8167,E
