dataset;data_variant;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
3;_scaled;55;0.7375340403689263;0.7271946933577195;0.08438872271367658;0.08273451155564186;0.7795602543476595;0.7829004826476672;0.694240837696335;0.6698113207547169;0.04492478655644396;0.04409025046574208;50215.0;16819.0;14095.0;4618.0;292.0;105.0;663.0;213.0
3;_scaled;60;0.7382683353944124;0.7327856703407352;0.08125897558640499;0.08036199095022624;0.7647437370719374;0.7664444955182717;0.7109947643979058;0.6981132075471698;0.04309195912927588;0.04263491453812176;49232.0;16452.0;15078.0;4985.0;276.0;96.0;679.0;222.0
3;_scaled;65;0.7439452716350206;0.7403125525343679;0.0797866303484281;0.07940873152286008;0.7515360453535586;0.7538037232820042;0.7361256544502618;0.7264150943396226;0.042179156416871665;0.042;48346.0;16168.0;15964.0;5269.0;252.0;87.0;703.0;231.0
3;_scaled;70;0.745464825562699;0.7413635332785875;0.07764578833693304;0.07718724448078496;0.7382670650425189;0.7406113537117904;0.7528795811518325;0.7421383647798742;0.04093367492171933;0.040710712437467655;47464.0;15876.0;16846.0;5561.0;236.0;82.0;719.0;236.0
3;_scaled;75;0.7475028107473536;0.747178143473211;0.07563628899835796;0.07609543115546546;0.723986822952578;0.7276488163640542;0.7717277486910995;0.7672955974842768;0.039766902282415154;0.04003281378178835;46514.0;15586.0;17796.0;5851.0;218.0;74.0;737.0;244.0
3;_scaled;a;0.7462368550240531;0.7388527388870649;0.07898666961668234;0.0779963018994789;0.7448709109017084;0.7478740519420822;0.7476439790575916;0.7295597484276729;0.041695865451997195;0.04120049724738057;47900.0;16038.0;16410.0;5399.0;241.0;86.0;714.0;232.0
3;_woe_scaled;40;0.7308502012096186;0.7024119674353664;0.09286146400483969;0.0861266294227188;0.8161955106105876;0.8195357389105953;0.6429319371727749;0.5817610062893082;0.05004482842937485;0.04650578179989945;52655.0;17644.0;11655.0;3793.0;341.0;133.0;614.0;185.0
3;_woe_scaled;45;0.7372999810310171;0.7131823013346407;0.088055442315532;0.0830550918196995;0.7943461273270512;0.7980234428866927;0.6785340314136126;0.6257861635220126;0.047082758119596016;0.04447921323200715;51195.0;17162.0;13115.0;4275.0;307.0;119.0;648.0;199.0
3;_woe_scaled;50;0.7455354911297617;0.7278436624152151;0.08486878838637632;0.08178014454165082;0.7739829924155367;0.7780740059756378;0.7162303664921466;0.6761006289308176;0.04510683197045635;0.043522267206477734;49830.0;16712.0;14480.0;4725.0;271.0;103.0;684.0;215.0
3;_woe_scaled;55;0.7441188011928478;0.7322451072808636;0.08028402909007616;0.07880386983289359;0.7539109783191603;0.7592737301769709;0.7340314136125654;0.7044025157232704;0.0424642597528471;0.041736538103223406;48503.0;16294.0;15807.0;5143.0;254.0;94.0;701.0;224.0
3;_woe_scaled;60;0.7530538841231242;0.7364270263340025;0.07905649200280038;0.07665620353543698;0.7379759442273807;0.7430935417145483;0.768586387434555;0.7295597484276729;0.04167139775178835;0.04045335658238884;47430.0;15934.0;16880.0;5503.0;221.0;86.0;734.0;232.0
3;_woe_scaled;65;0.7540707192989455;0.7391998874572647;0.07663265306122449;0.07453609854982067;0.7226997625067034;0.727189151919099;0.7863874345549738;0.7515723270440252;0.04027889514615178;0.03921246923707957;46416.0;15581.0;17894.0;5856.0;204.0;79.0;751.0;239.0
