city,coords_string
Bastar,"['title>gps coordinates of jagdalpur, india. latitude: 19.0814 longitude: 82.0213', 'meta name=""dcterms.title"" content=""gps coordinates of jagdalpur, india. latitude: 19.0814 longitude: 82.0213"">\n', 'meta property=""og:title"" content=""gps coordinates of jagdalpur, india. latitude: 19.0814 longitude: 82.0213"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/jagdalpur"" data-title=""gps coordinates of jagdalpur, india. latitude: 19.0814 longitude: 82.0213"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Jaintia Hills,"['title>gps coordinates of jaintia hills, india. latitude: 25.5000 longitude: 92.2500', 'meta name=""dcterms.title"" content=""gps coordinates of jaintia hills, india. latitude: 25.5000 longitude: 92.2500"">\n', 'meta property=""og:title"" content=""gps coordinates of jaintia hills, india. latitude: 25.5000 longitude: 92.2500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-meghalaya/jaintia-hills"" data-title=""gps coordinates of jaintia hills, india. latitude: 25.5000 longitude: 92.2500"" style=""clear: both;"">\n  ']"
SOMNATH JUNAGADHA,"['title>gps coordinates of junagadh, india. latitude: 21.5200 longitude: 70.4700', 'meta name=""dcterms.title"" content=""gps coordinates of junagadh, india. latitude: 21.5200 longitude: 70.4700"">\n', 'meta property=""og:title"" content=""gps coordinates of junagadh, india. latitude: 21.5200 longitude: 70.4700"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/5724/junagadh"" data-title=""gps coordinates of junagadh, india. latitude: 21.5200 longitude: 70.4700"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Nadia,"['title>gps coordinates of krishnanagar, nadia, india. latitude: 23.4000 longitude: 88.5000', 'meta name=""dcterms.title"" content=""gps coordinates of krishnanagar, nadia, india. latitude: 23.4000 longitude: 88.5000"">\n', 'meta property=""og:title"" content=""gps coordinates of krishnanagar, nadia, india. latitude: 23.4000 longitude: 88.5000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/18175/krishnanagar-nadia"" data-title=""gps coordinates of krishnanagar, nadia, india. latitude: 23.4000 longitude: 88.5000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
UDWADA,"['title>gps coordinates of udvada, india. latitude: 20.4875 longitude: 72.8707', 'meta name=""dcterms.title"" content=""gps coordinates of udvada, india. latitude: 20.4875 longitude: 72.8707"">\n', 'meta property=""og:title"" content=""gps coordinates of udvada, india. latitude: 20.4875 longitude: 72.8707"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/39001/udvada"" data-title=""gps coordinates of udvada, india. latitude: 20.4875 longitude: 72.8707"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Fatehpur,"['title>gps coordinates of fatehpur sīkri, india. latitude: 27.0937 longitude: 77.6600', 'meta name=""dcterms.title"" content=""gps coordinates of fatehpur sīkri, india. latitude: 27.0937 longitude: 77.6600"">\n', 'meta property=""og:title"" content=""gps coordinates of fatehpur sīkri, india. latitude: 27.0937 longitude: 77.6600"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/fatehpur-sikri"" data-title=""gps coordinates of fatehpur sīkri, india. latitude: 27.0937 longitude: 77.6600"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Siwan,"['title>gps coordinates of siwan, bihar, india. latitude: 26.2200 longitude: 84.3600', 'meta name=""dcterms.title"" content=""gps coordinates of siwan, bihar, india. latitude: 26.2200 longitude: 84.3600"">\n', 'meta property=""og:title"" content=""gps coordinates of siwan, bihar, india. latitude: 26.2200 longitude: 84.3600"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/32051/siwan-bihar"" data-title=""gps coordinates of siwan, bihar, india. latitude: 26.2200 longitude: 84.3600"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Mahabub Nagar,"['title>gps coordinates of mahabubnagar, india. latitude: 16.7300 longitude: 77.9800', 'meta name=""dcterms.title"" content=""gps coordinates of mahabubnagar, india. latitude: 16.7300 longitude: 77.9800"">\n', 'meta property=""og:title"" content=""gps coordinates of mahabubnagar, india. latitude: 16.7300 longitude: 77.9800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/23664/mahabubnagar"" data-title=""gps coordinates of mahabubnagar, india. latitude: 16.7300 longitude: 77.9800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Sanga Reddy,"['title>gps coordinates of balanagar, ranga reddy, india. latitude: 17.4787 longitude: 78.4468', 'meta name=""dcterms.title"" content=""gps coordinates of balanagar, ranga reddy, india. latitude: 17.4787 longitude: 78.4468"">\n', 'meta property=""og:title"" content=""gps coordinates of balanagar, ranga reddy, india. latitude: 17.4787 longitude: 78.4468"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/71238/balanagar-ranga-reddy"" data-title=""gps coordinates of balanagar, ranga reddy, india. latitude: 17.4787 longitude: 78.4468"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
AHMEDB,"['title>gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800', 'meta name=""dcterms.title"" content=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"">\n', 'meta property=""og:title"" content=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/977/ahmedabad"" data-title=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
