city,coords_string
Banaskhantha,"['title>gps coordinates of danta, banaskantha, india. latitude: 24.2031 longitude: 72.7447', 'meta name=""dcterms.title"" content=""gps coordinates of danta, banaskantha, india. latitude: 24.2031 longitude: 72.7447"">\n', 'meta property=""og:title"" content=""gps coordinates of danta, banaskantha, india. latitude: 24.2031 longitude: 72.7447"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/141886/danta-banaskantha"" data-title=""gps coordinates of danta, banaskantha, india. latitude: 24.2031 longitude: 72.7447"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
GANDEVI,"['title>gps coordinates of gandevi, india. latitude: 20.8121 longitude: 72.9981', 'meta name=""dcterms.title"" content=""gps coordinates of gandevi, india. latitude: 20.8121 longitude: 72.9981"">\n', 'meta property=""og:title"" content=""gps coordinates of gandevi, india. latitude: 20.8121 longitude: 72.9981"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/gandevi"" data-title=""gps coordinates of gandevi, india. latitude: 20.8121 longitude: 72.9981"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Pauri Garhwal,"['title>gps coordinates of pauri, india. latitude: 30.1529 longitude: 78.7771', 'meta name=""dcterms.title"" content=""gps coordinates of pauri, india. latitude: 30.1529 longitude: 78.7771"">\n', 'meta property=""og:title"" content=""gps coordinates of pauri, india. latitude: 30.1529 longitude: 78.7771"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/pauri"" data-title=""gps coordinates of pauri, india. latitude: 30.1529 longitude: 78.7771"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Rajgarh,"['title>gps coordinates of narsinghgarh, rajgarh, india. latitude: 23.7000 longitude: 77.1000', 'meta name=""dcterms.title"" content=""gps coordinates of narsinghgarh, rajgarh, india. latitude: 23.7000 longitude: 77.1000"">\n', 'meta property=""og:title"" content=""gps coordinates of narsinghgarh, rajgarh, india. latitude: 23.7000 longitude: 77.1000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/65447/narsinghgarh-rajgarh"" data-title=""gps coordinates of narsinghgarh, rajgarh, india. latitude: 23.7000 longitude: 77.1000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
MANDVI,"['title>gps coordinates of mandvi, india. latitude: 22.8100 longitude: 69.3600', 'meta name=""dcterms.title"" content=""gps coordinates of mandvi, india. latitude: 22.8100 longitude: 69.3600"">\n', 'meta property=""og:title"" content=""gps coordinates of mandvi, india. latitude: 22.8100 longitude: 69.3600"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/24604/mandvi"" data-title=""gps coordinates of mandvi, india. latitude: 22.8100 longitude: 69.3600"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
East Khasi Hills,"['title>gps coordinates of east khasi hills district, india. latitude: 25.3805 longitude: 91.7891', 'meta name=""dcterms.title"" content=""gps coordinates of east khasi hills district, india. latitude: 25.3805 longitude: 91.7891"">\n', 'meta property=""og:title"" content=""gps coordinates of east khasi hills district, india. latitude: 25.3805 longitude: 91.7891"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-meghalaya/east-khasi-hills-district"" data-title=""gps coordinates of east khasi hills district, india. latitude: 25.3805 longitude: 91.7891"" style=""clear: both;"">\n  ']"
Madhubani,"['title>gps coordinates of madhubani, india, india. latitude: 26.3700 longitude: 86.0800', 'meta name=""dcterms.title"" content=""gps coordinates of madhubani, india, india. latitude: 26.3700 longitude: 86.0800"">\n', 'meta property=""og:title"" content=""gps coordinates of madhubani, india, india. latitude: 26.3700 longitude: 86.0800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/50195/madhubani-india"" data-title=""gps coordinates of madhubani, india, india. latitude: 26.3700 longitude: 86.0800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
KHAMBHAT,"['title>gps coordinates of gulf of khambhat, india. latitude: 22.1668 longitude: 72.4198', 'meta name=""dcterms.title"" content=""gps coordinates of gulf of khambhat, india. latitude: 22.1668 longitude: 72.4198"">\n', 'meta property=""og:title"" content=""gps coordinates of gulf of khambhat, india. latitude: 22.1668 longitude: 72.4198"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/14129/gulf-of-khambhat"" data-title=""gps coordinates of gulf of khambhat, india. latitude: 22.1668 longitude: 72.4198"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Dindori,"['title>gps coordinates of dindori, india. latitude: 22.8000 longitude: 81.1000', 'meta name=""dcterms.title"" content=""gps coordinates of dindori, india. latitude: 22.8000 longitude: 81.1000"">\n', 'meta property=""og:title"" content=""gps coordinates of dindori, india. latitude: 22.8000 longitude: 81.1000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-madhya-pradesh/dindori"" data-title=""gps coordinates of dindori, india. latitude: 22.8000 longitude: 81.1000"" style=""clear: both;"">\n  ']"
Mansa,"['title>gps coordinates of mānsa, india. latitude: 29.9884 longitude: 75.4017', 'meta name=""dcterms.title"" content=""gps coordinates of mānsa, india. latitude: 29.9884 longitude: 75.4017"">\n', 'meta property=""og:title"" content=""gps coordinates of mānsa, india. latitude: 29.9884 longitude: 75.4017"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/mansa"" data-title=""gps coordinates of mānsa, india. latitude: 29.9884 longitude: 75.4017"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Hassan,"['title>gps coordinates of hassan, india. latitude: 13.0072 longitude: 76.0962', 'meta name=""dcterms.title"" content=""gps coordinates of hassan, india. latitude: 13.0072 longitude: 76.0962"">\n', 'meta property=""og:title"" content=""gps coordinates of hassan, india. latitude: 13.0072 longitude: 76.0962"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/hassan"" data-title=""gps coordinates of hassan, india. latitude: 13.0072 longitude: 76.0962"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Ramban,"['title>gps coordinates of ramban, india. latitude: 33.3230 longitude: 75.1861', 'meta name=""dcterms.title"" content=""gps coordinates of ramban, india. latitude: 33.3230 longitude: 75.1861"">\n', 'meta property=""og:title"" content=""gps coordinates of ramban, india. latitude: 33.3230 longitude: 75.1861"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/jammu-and-kashmir/ramban"" data-title=""gps coordinates of ramban, india. latitude: 33.3230 longitude: 75.1861"" style=""clear: both;"">\n  ']"
Bokaro,"['title>gps coordinates of bokaro steel city, india. latitude: 23.2900 longitude: 86.0900', 'meta name=""dcterms.title"" content=""gps coordinates of bokaro steel city, india. latitude: 23.2900 longitude: 86.0900"">\n', 'meta property=""og:title"" content=""gps coordinates of bokaro steel city, india. latitude: 23.2900 longitude: 86.0900"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/8754/bokaro-steel-city"" data-title=""gps coordinates of bokaro steel city, india. latitude: 23.2900 longitude: 86.0900"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Chitrakoot,"['title>gps coordinates of chitrakoot, india. latitude: 25.1788 longitude: 80.8655', 'meta name=""dcterms.title"" content=""gps coordinates of chitrakoot, india. latitude: 25.1788 longitude: 80.8655"">\n', 'meta property=""og:title"" content=""gps coordinates of chitrakoot, india. latitude: 25.1788 longitude: 80.8655"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-uttar-pradesh/chitrakoot"" data-title=""gps coordinates of chitrakoot, india. latitude: 25.1788 longitude: 80.8655"" style=""clear: both;"">\n  ']"
Amareli,"['title>gps coordinates of amreli, india. latitude: 21.5998 longitude: 71.2117', 'meta name=""dcterms.title"" content=""gps coordinates of amreli, india. latitude: 21.5998 longitude: 71.2117"">\n', 'meta property=""og:title"" content=""gps coordinates of amreli, india. latitude: 21.5998 longitude: 71.2117"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/amreli"" data-title=""gps coordinates of amreli, india. latitude: 21.5998 longitude: 71.2117"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Ambedkar Nagar,"['title>gps coordinates of tanda, ambedkar nagar, india. latitude: 26.3300 longitude: 82.3900', 'meta name=""dcterms.title"" content=""gps coordinates of tanda, ambedkar nagar, india. latitude: 26.3300 longitude: 82.3900"">\n', 'meta property=""og:title"" content=""gps coordinates of tanda, ambedkar nagar, india. latitude: 26.3300 longitude: 82.3900"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/40301/tanda-ambedkar-nagar"" data-title=""gps coordinates of tanda, ambedkar nagar, india. latitude: 26.3300 longitude: 82.3900"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Daman,"['title>gps coordinates of daman, india. latitude: 20.4143 longitude: 72.8324', 'meta name=""dcterms.title"" content=""gps coordinates of daman, india. latitude: 20.4143 longitude: 72.8324"">\n', 'meta property=""og:title"" content=""gps coordinates of daman, india. latitude: 20.4143 longitude: 72.8324"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/daman"" data-title=""gps coordinates of daman, india. latitude: 20.4143 longitude: 72.8324"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
UMBERGAON,"['title>gps coordinates of umbergaon, india. latitude: 20.2000 longitude: 72.7500', 'meta name=""dcterms.title"" content=""gps coordinates of umbergaon, india. latitude: 20.2000 longitude: 72.7500"">\n', 'meta property=""og:title"" content=""gps coordinates of umbergaon, india. latitude: 20.2000 longitude: 72.7500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/53615/umbergaon"" data-title=""gps coordinates of umbergaon, india. latitude: 20.2000 longitude: 72.7500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Baran,"['title>gps coordinates of baran, rajasthan, india. latitude: 25.1000 longitude: 76.5200', 'meta name=""dcterms.title"" content=""gps coordinates of baran, rajasthan, india. latitude: 25.1000 longitude: 76.5200"">\n', 'meta property=""og:title"" content=""gps coordinates of baran, rajasthan, india. latitude: 25.1000 longitude: 76.5200"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/26396/baran-rajasthan"" data-title=""gps coordinates of baran, rajasthan, india. latitude: 25.1000 longitude: 76.5200"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Mandi,"['title>gps coordinates of mandi, india. latitude: 31.7119 longitude: 76.9327', 'meta name=""dcterms.title"" content=""gps coordinates of mandi, india. latitude: 31.7119 longitude: 76.9327"">\n', 'meta property=""og:title"" content=""gps coordinates of mandi, india. latitude: 31.7119 longitude: 76.9327"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/mandi"" data-title=""gps coordinates of mandi, india. latitude: 31.7119 longitude: 76.9327"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Bilaspur,"['title>gps coordinates of bilaspur, chhattisgarh, india. latitude: 22.0900 longitude: 82.1500', 'meta name=""dcterms.title"" content=""gps coordinates of bilaspur, chhattisgarh, india. latitude: 22.0900 longitude: 82.1500"">\n', 'meta property=""og:title"" content=""gps coordinates of bilaspur, chhattisgarh, india. latitude: 22.0900 longitude: 82.1500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/8359/bilaspur-chhattisgarh"" data-title=""gps coordinates of bilaspur, chhattisgarh, india. latitude: 22.0900 longitude: 82.1500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
CHOTILA,"['title>gps coordinates of chotila, india. latitude: 22.4235 longitude: 71.1964', 'meta name=""dcterms.title"" content=""gps coordinates of chotila, india. latitude: 22.4235 longitude: 71.1964"">\n', 'meta property=""og:title"" content=""gps coordinates of chotila, india. latitude: 22.4235 longitude: 71.1964"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/chotila"" data-title=""gps coordinates of chotila, india. latitude: 22.4235 longitude: 71.1964"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Udupi and Uttara Kannada,"['title>gps coordinates of udupi district, india. latitude: 13.3500 longitude: 74.7500', 'meta name=""dcterms.title"" content=""gps coordinates of udupi district, india. latitude: 13.3500 longitude: 74.7500"">\n', 'meta property=""og:title"" content=""gps coordinates of udupi district, india. latitude: 13.3500 longitude: 74.7500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/17795/udupi-district"" data-title=""gps coordinates of udupi district, india. latitude: 13.3500 longitude: 74.7500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
NALIYA,"['title>gps coordinates of naliya, india. latitude: 23.2606 longitude: 68.8266', 'meta name=""dcterms.title"" content=""gps coordinates of naliya, india. latitude: 23.2606 longitude: 68.8266"">\n', 'meta property=""og:title"" content=""gps coordinates of naliya, india. latitude: 23.2606 longitude: 68.8266"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/naliya"" data-title=""gps coordinates of naliya, india. latitude: 23.2606 longitude: 68.8266"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Nizamabad,"['title>gps coordinates of nizamabad, telangana, india. latitude: 18.6730 longitude: 78.1018', 'meta name=""dcterms.title"" content=""gps coordinates of nizamabad, telangana, india. latitude: 18.6730 longitude: 78.1018"">\n', 'meta property=""og:title"" content=""gps coordinates of nizamabad, telangana, india. latitude: 18.6730 longitude: 78.1018"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/18424/nizamabad-telangana"" data-title=""gps coordinates of nizamabad, telangana, india. latitude: 18.6730 longitude: 78.1018"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Barnala,"['title>gps coordinates of barnala, india. latitude: 30.3800 longitude: 75.5000', 'meta name=""dcterms.title"" content=""gps coordinates of barnala, india. latitude: 30.3800 longitude: 75.5000"">\n', 'meta property=""og:title"" content=""gps coordinates of barnala, india. latitude: 30.3800 longitude: 75.5000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-punjab/barnala"" data-title=""gps coordinates of barnala, india. latitude: 30.3800 longitude: 75.5000"" style=""clear: both;"">\n  ']"
Janigir - Champa,"['title>gps coordinates of janjgir-champa, india. latitude: 21.9000 longitude: 82.7000', 'meta name=""dcterms.title"" content=""gps coordinates of janjgir-champa, india. latitude: 21.9000 longitude: 82.7000"">\n', 'meta property=""og:title"" content=""gps coordinates of janjgir-champa, india. latitude: 21.9000 longitude: 82.7000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/chhattisgarh/janjgir-champa"" data-title=""gps coordinates of janjgir-champa, india. latitude: 21.9000 longitude: 82.7000"" style=""clear: both;"">\n  ']"
sri ganganagar,"['title>gps coordinates of sri ganganagar, india. latitude: 29.9200 longitude: 73.8800', 'meta name=""dcterms.title"" content=""gps coordinates of sri ganganagar, india. latitude: 29.9200 longitude: 73.8800"">\n', 'meta property=""og:title"" content=""gps coordinates of sri ganganagar, india. latitude: 29.9200 longitude: 73.8800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/12737/sri-ganganagar"" data-title=""gps coordinates of sri ganganagar, india. latitude: 29.9200 longitude: 73.8800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Gajapati,"['title>gps coordinates of gajapati, india. latitude: 18.9100 longitude: 84.2000', 'meta name=""dcterms.title"" content=""gps coordinates of gajapati, india. latitude: 18.9100 longitude: 84.2000"">\n', 'meta property=""og:title"" content=""gps coordinates of gajapati, india. latitude: 18.9100 longitude: 84.2000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-odisha/gajapati"" data-title=""gps coordinates of gajapati, india. latitude: 18.9100 longitude: 84.2000"" style=""clear: both;"">\n  ']"
Samba,"['title>gps coordinates of samba, india. latitude: 32.5752 longitude: 75.1093', 'meta name=""dcterms.title"" content=""gps coordinates of samba, india. latitude: 32.5752 longitude: 75.1093"">\n', 'meta property=""og:title"" content=""gps coordinates of samba, india. latitude: 32.5752 longitude: 75.1093"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/jammu-and-kashmir/samba"" data-title=""gps coordinates of samba, india. latitude: 32.5752 longitude: 75.1093"" style=""clear: both;"">\n  ']"
DWARKA,"['title>gps coordinates of dwarka, india. latitude: 22.2300 longitude: 68.9700', 'meta name=""dcterms.title"" content=""gps coordinates of dwarka, india. latitude: 22.2300 longitude: 68.9700"">\n', 'meta property=""og:title"" content=""gps coordinates of dwarka, india. latitude: 22.2300 longitude: 68.9700"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/3094/dwarka"" data-title=""gps coordinates of dwarka, india. latitude: 22.2300 longitude: 68.9700"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
VALLABH VIDYANAGAR,"['title>gps coordinates of vallabh vidyanagar, india. latitude: 22.5333 longitude: 72.9000', 'meta name=""dcterms.title"" content=""gps coordinates of vallabh vidyanagar, india. latitude: 22.5333 longitude: 72.9000"">\n', 'meta property=""og:title"" content=""gps coordinates of vallabh vidyanagar, india. latitude: 22.5333 longitude: 72.9000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/vallabh-vidyanagar"" data-title=""gps coordinates of vallabh vidyanagar, india. latitude: 22.5333 longitude: 72.9000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Sirmaur,"['title>gps coordinates of sirmaur, india. latitude: 24.8365 longitude: 81.3645', 'meta name=""dcterms.title"" content=""gps coordinates of sirmaur, india. latitude: 24.8365 longitude: 81.3645"">\n', 'meta property=""og:title"" content=""gps coordinates of sirmaur, india. latitude: 24.8365 longitude: 81.3645"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/sirmaur"" data-title=""gps coordinates of sirmaur, india. latitude: 24.8365 longitude: 81.3645"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Baksa,"['title>gps coordinates of bodoland, india. latitude: 26.4000 longitude: 90.2687', 'meta name=""dcterms.title"" content=""gps coordinates of bodoland, india. latitude: 26.4000 longitude: 90.2687"">\n', 'meta property=""og:title"" content=""gps coordinates of bodoland, india. latitude: 26.4000 longitude: 90.2687"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/18552/bodoland"" data-title=""gps coordinates of bodoland, india. latitude: 26.4000 longitude: 90.2687"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Rewa,"['title>gps coordinates of rewa, india. latitude: 24.5326 longitude: 81.2923', 'meta name=""dcterms.title"" content=""gps coordinates of rewa, india. latitude: 24.5326 longitude: 81.2923"">\n', 'meta property=""og:title"" content=""gps coordinates of rewa, india. latitude: 24.5326 longitude: 81.2923"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/rewa"" data-title=""gps coordinates of rewa, india. latitude: 24.5326 longitude: 81.2923"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Malda,"['title>gps coordinates of old malda, india. latitude: 25.0400 longitude: 88.1400', 'meta name=""dcterms.title"" content=""gps coordinates of old malda, india. latitude: 25.0400 longitude: 88.1400"">\n', 'meta property=""og:title"" content=""gps coordinates of old malda, india. latitude: 25.0400 longitude: 88.1400"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/169326/old-malda"" data-title=""gps coordinates of old malda, india. latitude: 25.0400 longitude: 88.1400"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Bhojpur,"['title>gps coordinates of bhojpur, india. latitude: 25.3089 longitude: 84.4450', 'meta name=""dcterms.title"" content=""gps coordinates of bhojpur, india. latitude: 25.3089 longitude: 84.4450"">\n', 'meta property=""og:title"" content=""gps coordinates of bhojpur, india. latitude: 25.3089 longitude: 84.4450"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/bihar/bhojpur"" data-title=""gps coordinates of bhojpur, india. latitude: 25.3089 longitude: 84.4450"" style=""clear: both;"">\n  ']"
Fatehabad,"['title>gps coordinates of fatehabad, haryana, india. latitude: 29.5200 longitude: 75.4500', 'meta name=""dcterms.title"" content=""gps coordinates of fatehabad, haryana, india. latitude: 29.5200 longitude: 75.4500"">\n', 'meta property=""og:title"" content=""gps coordinates of fatehabad, haryana, india. latitude: 29.5200 longitude: 75.4500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/55094/fatehabad-haryana"" data-title=""gps coordinates of fatehabad, haryana, india. latitude: 29.5200 longitude: 75.4500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Anjaw,"['title>gps coordinates of anjaw, india. latitude: 28.0655 longitude: 96.8288', 'meta name=""dcterms.title"" content=""gps coordinates of anjaw, india. latitude: 28.0655 longitude: 96.8288"">\n', 'meta property=""og:title"" content=""gps coordinates of anjaw, india. latitude: 28.0655 longitude: 96.8288"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/arunachal-pradesh/anjaw"" data-title=""gps coordinates of anjaw, india. latitude: 28.0655 longitude: 96.8288"" style=""clear: both;"">\n  ']"
DHANDHUKA,"['title>gps coordinates of dhandhuka, india. latitude: 22.3819 longitude: 71.9866', 'meta name=""dcterms.title"" content=""gps coordinates of dhandhuka, india. latitude: 22.3819 longitude: 71.9866"">\n', 'meta property=""og:title"" content=""gps coordinates of dhandhuka, india. latitude: 22.3819 longitude: 71.9866"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/dhandhuka"" data-title=""gps coordinates of dhandhuka, india. latitude: 22.3819 longitude: 71.9866"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
KALOL,"['title>gps coordinates of kalol (panchmahal), india. latitude: 22.6060 longitude: 73.4630', 'meta name=""dcterms.title"" content=""gps coordinates of kalol (panchmahal), india. latitude: 22.6060 longitude: 73.4630"">\n', 'meta property=""og:title"" content=""gps coordinates of kalol (panchmahal), india. latitude: 22.6060 longitude: 73.4630"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/85307/kalol-panchmahal"" data-title=""gps coordinates of kalol (panchmahal), india. latitude: 22.6060 longitude: 73.4630"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
BARDOLI,"['title>gps coordinates of bardoli, india. latitude: 21.1200 longitude: 73.1200', 'meta name=""dcterms.title"" content=""gps coordinates of bardoli, india. latitude: 21.1200 longitude: 73.1200"">\n', 'meta property=""og:title"" content=""gps coordinates of bardoli, india. latitude: 21.1200 longitude: 73.1200"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/36500/bardoli"" data-title=""gps coordinates of bardoli, india. latitude: 21.1200 longitude: 73.1200"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Ankleshwar,"['title>gps coordinates of ankleshwar, india. latitude: 21.6324 longitude: 72.9900', 'meta name=""dcterms.title"" content=""gps coordinates of ankleshwar, india. latitude: 21.6324 longitude: 72.9900"">\n', 'meta property=""og:title"" content=""gps coordinates of ankleshwar, india. latitude: 21.6324 longitude: 72.9900"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/ankleshwar"" data-title=""gps coordinates of ankleshwar, india. latitude: 21.6324 longitude: 72.9900"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Patan,"['title>gps coordinates of pātan, india. latitude: 23.8507 longitude: 72.1296', 'meta name=""dcterms.title"" content=""gps coordinates of pātan, india. latitude: 23.8507 longitude: 72.1296"">\n', 'meta property=""og:title"" content=""gps coordinates of pātan, india. latitude: 23.8507 longitude: 72.1296"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/patan"" data-title=""gps coordinates of pātan, india. latitude: 23.8507 longitude: 72.1296"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Prakasam,"['title>gps coordinates of ponduru, prakasam, india. latitude: 15.4167 longitude: 79.9333', 'meta name=""dcterms.title"" content=""gps coordinates of ponduru, prakasam, india. latitude: 15.4167 longitude: 79.9333"">\n', 'meta property=""og:title"" content=""gps coordinates of ponduru, prakasam, india. latitude: 15.4167 longitude: 79.9333"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/362359/ponduru-prakasam"" data-title=""gps coordinates of ponduru, prakasam, india. latitude: 15.4167 longitude: 79.9333"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Banka,"['title>gps coordinates of banka, bihar, india. latitude: 24.8800 longitude: 86.9200', 'meta name=""dcterms.title"" content=""gps coordinates of banka, bihar, india. latitude: 24.8800 longitude: 86.9200"">\n', 'meta property=""og:title"" content=""gps coordinates of banka, bihar, india. latitude: 24.8800 longitude: 86.9200"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/38781/banka-bihar"" data-title=""gps coordinates of banka, bihar, india. latitude: 24.8800 longitude: 86.9200"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Salem,"['title>gps coordinates of salem, india. latitude: 11.6512 longitude: 78.1587', 'meta name=""dcterms.title"" content=""gps coordinates of salem, india. latitude: 11.6512 longitude: 78.1587"">\n', 'meta property=""og:title"" content=""gps coordinates of salem, india. latitude: 11.6512 longitude: 78.1587"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/salem"" data-title=""gps coordinates of salem, india. latitude: 11.6512 longitude: 78.1587"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
