param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;200;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9429059120925393;0.8407583807185485
0.01;500;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9660925100035123;0.8446503355518417
0.01;20;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9189531237830035;0.8366510726553563
0.01;50;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9323239388305877;0.8388856474828167
0.01;100;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9459634231643617;0.841358751802386
0.01;200;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.959825353723764;0.8444918927429912
0.01;500;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.977599387881217;0.8473082439158693
0.01;20;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9111548613046024;0.8364415294369181
0.01;50;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9245524880679646;0.8387739573422739
0.01;100;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9393943619410934;0.841577922968043
0.01;200;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9547365823368031;0.8431214649274889
0.01;500;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9732395744702174;0.8465780772312881
0.01;20;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.902600636947525;0.8325388833974049
0.01;50;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9168229019650562;0.8370351917730912
0.01;100;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9327606362982978;0.8409208562539988
