dataset;data_variant;n_estimators;max_depth;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
1;_scaled;400;3;0.7843119998762538;0.761187748332616;0.0851520188750067;0.08149852119618799;0.7385888301539876;0.7430475752700528;0.831413612565445;0.779874213836478;0.04487396857691873;0.04299583911234397;47410.0;15917.0;16900.0;5520.0;161.0;70.0;794.0;248.0
1;_scaled;400;4;0.7923589599135731;0.7576451899569399;0.09015555807880095;0.0836950859524223;0.7544472535049414;0.7574350723971501;0.831413612565445;0.7578616352201258;0.04766192448526322;0.04429332843227348;48445.0;16237.0;15865.0;5200.0;161.0;77.0;794.0;241.0
1;_scaled;400;5;0.806105692241686;0.7577467013917921;0.09590421433228617;0.08648056923918994;0.7662912740366199;0.76984601241094;0.8471204188481676;0.7452830188679245;0.05082935410907263;0.04590354445090064;49203.0;16511.0;15107.0;4926.0;146.0;81.0;809.0;237.0
1;_scaled;500;3;0.7923103162772598;0.7597224337043782;0.08763335510559549;0.08183632734530938;0.7431701524553742;0.7462652263847391;0.8429319371727748;0.7735849056603774;0.04621921111557674;0.04320337197049526;47698.0;15989.0;16612.0;5448.0;150.0;72.0;805.0;246.0
1;_scaled;500;4;0.7961090789785408;0.7582790496534675;0.09244186046511628;0.08543342269883825;0.7608212671416532;0.764789703516433;0.8324607329842932;0.7515723270440252;0.048938134810710986;0.04529088497252227;48860.0;16399.0;15450.0;5038.0;160.0;79.0;795.0;239.0
1;_scaled;500;5;0.8134507592070802;0.759229839198259;0.09919261822376009;0.08824079267152739;0.7726346433770015;0.7758216501953574;0.8554973821989529;0.7421383647798742;0.052648537182626624;0.046909163188232954;49609.0;16642.0;14701.0;4795.0;138.0;82.0;817.0;236.0
1;_scaled;600;3;0.7921700434984015;0.7514217468592332;0.08887652947719688;0.08116827984377653;0.7489925687581399;0.7512755688347507;0.8366492146596859;0.7515723270440252;0.046930983847283406;0.042900735954047746;48084.0;16105.0;16226.0;5332.0;156.0;79.0;799.0;239.0
1;_scaled;600;4;0.8031276026380726;0.7574434873226593;0.09534552362859178;0.08627593738623954;0.7665211062590975;0.7692484486324983;0.8408376963350785;0.7452830188679245;0.050538108125118004;0.04578825347758887;49224.0;16498.0;15086.0;4939.0;152.0;81.0;803.0;237.0
1;_scaled;600;5;0.8203837596198388;0.7576149712350039;0.10230654761904762;0.08939190485325148;0.7781659388646288;0.7817972879797748;0.8638743455497382;0.7327044025157232;0.05437289922889343;0.04759959141981614;49962.0;16775.0;14348.0;4662.0;130.0;85.0;825.0;233.0
1;_woe_scaled;400;3;0.7868158242023054;0.7622236197158678;0.08539253882692;0.08150572831423895;0.7374243468934345;0.7420363134911515;0.837696335078534;0.7830188679245284;0.04498931503767855;0.042990331491712705;47328.0;15894.0;16982.0;5543.0;155.0;69.0;800.0;249.0
1;_woe_scaled;400;4;0.7944247472769741;0.765273583585425;0.09033352176370832;0.0852095600969865;0.75343599172604;0.7572052401746725;0.8366492146596859;0.7735849056603774;0.047744248580818646;0.045087976539589444;48374.0;16227.0;15936.0;5210.0;156.0;72.0;799.0;246.0
