data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_scaled;2;0.8505953011109024;0.9172315848144743;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8505929866611083;0.8956976915393375;0.01;5;400;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;2;0.8505650204952975;0.922102343907199;0.1;3;200;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.850500969412417;0.9006101174704177;0.01;5;400;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;1;0.8504020952490765;0.8958044338601935;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;3;0.8503989489231728;0.8753548525232574;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.85037679873854;0.8777553739364232;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;3;0.8503655452296193;0.8755156050770858;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8503641387731268;0.9058866185341508;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8503218091075428;0.8777620129637523;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;4;0.8502924456293112;0.9046730748126034;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8502656796863652;0.8795123255657963;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;3;0.8502176876339821;0.8792904967615387;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;2;0.8501721357280397;0.9042396190013905;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;2;0.8501590029626932;0.9023755379619076;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8501551741741409;0.9063304184097306;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8501372119010489;0.8954791911233618;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8501302930611482;0.9150562988957697;0.1;3;200;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;2;0.8501095499074762;0.9245898853726051;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;4;0.850091894342156;0.9205674125064567;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;4;0.850045624005529;0.9037822790220712;0.01;5;400;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;4;0.8500247336685257;0.9033077052074558;0.01;5;400;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;4;0.8499804371136701;0.9180484027766566;0.01;5;600;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;2;0.8496755153220098;0.9451428658188674;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;2;0.8496467606642009;0.9459563807272832;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;4;0.8496381831909806;0.9044433176929659;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;4;0.8496080501225605;0.9039981562951312;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;1;0.8495975488709563;0.8955316357654978;0.01;5;400;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;3;0.8494599800109505;0.9288958806425721;0.1;3;200;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;1;0.8494098326461159;0.9095590698321331;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;4;0.849255704705755;0.9037748920597558;0.01;5;400;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8492028034689633;0.8975010777489549;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;4;0.8491620892352328;0.9197624741552056;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8491052753779798;0.9094903868868346;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;3;0.8490652513124312;0.952634032720701;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;4;0.8489727043792789;0.9261247279250626;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;2;0.8489679330970499;0.9577167954571723;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8488562177395025;0.9072825879987819;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;3;0.848836267458495;0.9071735215466373;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8488263777340543;0.9303068676149803;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8487388325322714;0.8738381167275316;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;4;0.8487290145350083;0.8744178403103519;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;1;0.8487127344576264;0.9155728014520369;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8486968079998193;0.8968943233777283;0.01;5;400;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;4;0.8486957078512352;0.8766325312852352;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;4;0.8486909822835109;0.8744623010939462;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;2;0.848689265552816;0.9244308350350309;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8486621364450028;0.8718260292074541;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;1;0.848622088783902;0.8717392099271476;0.01;3;600;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;3;0.8486024648400432;0.9224680649322629;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8485958977714505;0.9507050392551619;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;1;0.8485947723636346;0.8734122306124902;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;4;0.8485848346784892;0.8766821978864049;0.01;3;600;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;4;0.848572701103602;0.928020027837707;0.1;3;200;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;3;0.8484732035103455;0.9223818907910813;0.01;5;600;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;4;0.8484379646697144;0.9263760246836723;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8484311690986287;0.9361371785871174;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;4;0.848418137027614;0.8776335441973492;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8483979927276057;0.9385821120972095;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;3;0.8483922196577234;0.9304577062850358;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;4;0.8483666715522769;0.8779120237857896;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;2;0.8483018708374266;0.957925857325676;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;3;0.8482844118062342;0.9664654609889309;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8482554050797659;0.9530197457707;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;1;0.8482328586346962;0.874774694233491;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
