dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
2;_scaled;0.01;200;5;0.5;0.9045475843823505;0.8432295734480126
2;_scaled;0.01;500;5;0.5;0.9293514999848126;0.8488228807008587
2;_scaled;0.01;20;5;0.75;0.8702590331223525;0.8338216921744928
2;_scaled;0.01;50;5;0.75;0.8784169376068833;0.8363752392097599
2;_scaled;0.01;100;5;0.75;0.8887271172313116;0.8397506753849756
2;_scaled;0.01;200;5;0.75;0.9009426399869582;0.8426542934016311
2;_scaled;0.01;500;5;0.75;0.9265560155024835;0.8473892328822791
2;_scaled;0.01;20;5;0.9;0.8657219927997952;0.8325690183520126
2;_scaled;0.01;50;5;0.9;0.8747046349665469;0.8359337111736189
2;_scaled;0.01;100;5;0.9;0.885020435068837;0.8389888615393983
